clip_id,source_video,clip_name,clip_path,start_frame,end_frame,start_sec,end_sec,duration_sec,human_present,suspicious_event,animal_abnormal_event,behavior_label,review_status,reviewer_notes,human_evidence_ratio,human_evidence_max_humans,human_evidence_frames
1,horseVId.mp4,001_horse1_clip_0001_negative_check_f0_to_f89.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/001_horse1_clip_0001_negative_check_f0_to_f89.mp4,0,89,0,2.967,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.10; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.10, max_h=1, label=0",0.100,1,9
2,horseVId.mp4,002_horse1_clip_0002_negative_check_f135_to_f224.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/002_horse1_clip_0002_negative_check_f135_to_f224.mp4,135,224,4.5,7.467,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.00; max_h=0; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.00, max_h=0, label=0",0.000,0,0
3,horseVId.mp4,003_horse1_clip_0003_negative_check_f315_to_f404.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/003_horse1_clip_0003_negative_check_f315_to_f404.mp4,315,404,10.5,13.467,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.01; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.01, max_h=1, label=0",0.011,1,1
4,horseVId.mp4,004_horse1_clip_0004_negative_check_f495_to_f584.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/004_horse1_clip_0004_negative_check_f495_to_f584.mp4,495,584,16.5,19.467,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.00; max_h=0; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.00, max_h=0, label=0",0.000,0,0
5,horseVId.mp4,005_horse1_clip_0005_negative_check_f675_to_f764.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/005_horse1_clip_0005_negative_check_f675_to_f764.mp4,675,764,22.5,25.467,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.00; max_h=0; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.00, max_h=0, label=0",0.000,0,0
6,horseVId.mp4,006_horse1_clip_0006_negative_check_f855_to_f944.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/006_horse1_clip_0006_negative_check_f855_to_f944.mp4,855,944,28.5,31.467,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.00; max_h=0; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.00, max_h=0, label=0",0.000,0,0
7,horseVId.mp4,007_horse1_clip_0007_negative_check_f1035_to_f1124.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/007_horse1_clip_0007_negative_check_f1035_to_f1124.mp4,1035,1124,34.5,37.467,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.00; max_h=0; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.00, max_h=0, label=0",0.000,0,0
8,horseVId.mp4,008_horse1_clip_0008_negative_check_f1215_to_f1304.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/008_horse1_clip_0008_negative_check_f1215_to_f1304.mp4,1215,1304,40.5,43.467,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.00; max_h=0; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.00, max_h=0, label=0",0.000,0,0
9,horseVId.mp4,009_horse1_clip_0009_human_check_f1355_to_f1444.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/009_horse1_clip_0009_human_check_f1355_to_f1444.mp4,1355,1444,45.167,48.133,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.06; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.06, max_h=1, label=0",0.056,1,5
10,horseVId.mp4,010_horse1_clip_0010_negative_check_f1575_to_f1664.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/010_horse1_clip_0010_negative_check_f1575_to_f1664.mp4,1575,1664,52.5,55.467,3,0,0,0,,prefilled_auto,"auto: human_ratio=0.00; max_h=0; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.00, max_h=0, label=0",0.000,0,0
11,horsevid2.mp4,011_horse2_clip_0001_human_check_f0_to_f89.mp4,/Users/kushchaudhary/Desktop/computational Perception/Team10_Final_Project_Review/03_evaluation/output_horse_review_final/clips/011_horse2_clip_0001_human_check_f0_to_f89.mp4,0,89,0,2.967,3,1,0,0,idle,prefilled_auto,"auto: human_ratio=0.39; max_h=1; susp_frames=0; animal_abn_frames=0 | conf_update: ratio=0.39, max_h=1, label=1",0.389,1,35
